# phasetime, flux, flux_err
-5.158245732378652360e-02,1.000784827462990689e+00,4.527404287823979666e-04
-5.155324906739900542e-02,9.997719350467390020e-01,4.522136395685305435e-04
-5.124985159047822786e-02,1.000512329673046041e+00,4.511122462582614905e-04
-5.122040119022129578e-02,1.000004046460540419e+00,4.530215596253808785e-04
-5.091729801123412447e-02,9.996922748026960681e-01,4.505623010411913243e-04
-5.088768602651049661e-02,1.000058670292755192e+00,4.535773070294618972e-04
-5.085848987731644150e-02,9.997956231901569124e-01,4.522831910080467744e-04
-5.055508029320222863e-02,9.994740939555027959e-01,4.509047646708696112e-04
-5.052563082426786423e-02,9.993665222909551282e-01,4.534260096066137277e-04
-5.022252624829680323e-02,1.000176610943401823e+00,4.505441053806497780e-04
-5.019291519489576386e-02,1.000199000769839364e+00,4.532175821387800056e-04
-5.016371951136300300e-02,9.992709181427691378e-01,4.521065815355606709e-04
-4.986030899592620164e-02,9.999116887399859266e-01,4.510608575531241957e-04
-4.983087163418530030e-02,1.001022680657981834e+00,4.571813390548640178e-04
-4.952775401969820857e-02,9.999261297940931215e-01,4.503932727319910124e-04
-4.949814436328103112e-02,1.000429374025855633e+00,4.528920108421415698e-04
-4.946894961107083794e-02,9.991062002546181597e-01,4.519913388949311638e-04
-4.916553769865017465e-02,9.999119156595811519e-01,4.525748505346714138e-04
-4.913609987124800682e-02,9.993267011517282805e-01,4.554492861052320853e-04
-4.883298272242221627e-02,9.999920399889037359e-01,4.504411038446525959e-04
-4.880338470753720070e-02,1.000067547038209437e+00,4.532131742586467909e-04
-4.877417831379483870e-02,1.000178553574087914e+00,4.521749782992034311e-04
-4.847077757724504998e-02,1.000696143958148543e+00,4.514398021750815537e-04
-4.844133043661713600e-02,9.999152474533218315e-01,4.532547794983550178e-04
-4.813822260101709161e-02,1.000147018553230849e+00,4.504784696915233922e-04
-4.810861387592247490e-02,1.000434741762961099e+00,4.530241059689860323e-04
-4.807940887916396788e-02,9.991064622883474300e-01,4.520870141500875653e-04
-4.777600674563031724e-02,9.995991662714472925e-01,4.512616745915157333e-04
-4.774655913934110901e-02,9.998107073879405338e-01,4.526984055920524243e-04
-4.771762003517766859e-02,9.994001497512832177e-01,4.515306549313790490e-04
-4.744345130374106462e-02,1.000709839133177681e+00,4.507162953369958929e-04
-4.741384304430774216e-02,9.999291764327922216e-01,4.526317689103271703e-04
-4.738463804754923514e-02,9.995141652690351375e-01,4.518754523031167465e-04
-4.708123498269302376e-02,9.996274747179726416e-01,4.514276150299285830e-04
-4.705178923904897170e-02,1.000764774979389982e+00,4.528439727059379596e-04
-4.702285106620806426e-02,1.000515456048535423e+00,4.517632242536048803e-04
-4.674867907514246995e-02,9.994044813383393677e-01,4.503989442323135602e-04
-4.671907174703171517e-02,1.000582126785857895e+00,4.524735449628795132e-04
-4.668987978878923195e-02,1.000647883423207318e+00,4.520217081810994162e-04
-4.638646415107829102e-02,9.999918437786841086e-01,4.516514671236304289e-04
-4.635701794177293777e-02,9.997999034346033431e-01,4.523521925493276057e-04
-4.632808023459333152e-02,9.998608941663532645e-01,4.516908714780073055e-04
-4.605390824352773721e-02,9.998902746755795601e-01,4.506650059885839734e-04
-4.602430091541698243e-02,1.000216668392980957e+00,4.525186030796967567e-04
-4.599510942283580039e-02,1.000217375673168041e+00,4.519020003652481532e-04
-4.569169192247966860e-02,9.994009211923285951e-01,4.515196419568805555e-04
-4.566225968301296928e-02,1.000397562586480715e+00,4.524471900887619782e-04
-4.563331033430119421e-02,1.000120976145237428e+00,4.516912410812477883e-04
-4.535913601492914948e-02,1.001109818015161856e+00,4.508708149737278509e-04
-4.532953008380224968e-02,1.001274810994075670e+00,4.527843226250578747e-04
-4.530033905688236190e-02,1.000851817668330535e+00,4.519656430452509183e-04
-4.499692155652623704e-02,9.991619083953859892e-01,4.516379168654480517e-04
-4.496748792007564804e-02,1.000134670166834105e+00,4.522105375400169830e-04
-4.493853996834772796e-02,9.999886267179355359e-01,4.516368986432484620e-04
-4.466437589352402482e-02,9.990525417239395356e-01,4.504853392079545115e-04
-4.463477089371968576e-02,1.001020757369173175e+00,4.526801607088626767e-04
-4.460556869092889565e-02,1.001113199559919398e+00,4.519682332128882032e-04
-4.430216190078240662e-02,1.000905147600553491e+00,4.522101776926617275e-04
-4.427271801978351073e-02,1.000145325512370231e+00,4.521091346580170681e-04
-4.424378217524905371e-02,9.999168673028014931e-01,4.515256594934148322e-04
-4.396960506190929208e-02,9.998862832153135871e-01,4.507119096184723566e-04
-4.393999913078239228e-02,1.000431365210293855e+00,4.526160248690621365e-04
-4.391079785931416984e-02,9.994304013179742263e-01,4.515562943229460449e-04
-4.360739106916767388e-02,1.000414015875623841e+00,4.527605470663794156e-04
-4.357793554663658142e-02,1.000127295688890916e+00,4.519709184077643329e-04
-4.354901227495688171e-02,1.000037131659117229e+00,4.514909899431619245e-04
-4.327482119177850778e-02,9.989586442892713913e-01,4.505446275677538279e-04
-4.324522876482896072e-02,9.997203371609524325e-01,4.522428364607307557e-04
-4.321602795902203253e-02,1.000315251726622057e+00,4.516686598647807766e-04
-4.291260766469818383e-02,1.001010614579381341e+00,4.530864368057246796e-04
-4.288317635655404525e-02,1.000497737936298925e+00,4.519143323006497080e-04
-4.285424237466471664e-02,9.998053019744677083e-01,4.513471522024415684e-04
-4.258004942884117960e-02,9.993651599341945024e-01,4.506480908576333735e-04
-4.255045746755293373e-02,9.997335321825534526e-01,4.521465639236382046e-04
-4.252125759306856628e-02,9.992569721626877177e-01,4.514403774806920503e-04
-4.221783636742215684e-02,1.000542966375734588e+00,4.524519062120947667e-04
-4.218840599060057900e-02,1.000366259588025386e+00,4.518249298266456136e-04
-4.215947200871127815e-02,9.998275637865216003e-01,4.512763718666718080e-04
-4.188527766590388612e-02,1.001142334381083909e+00,4.510608841715403258e-04
-4.185567499440600442e-02,1.000640724594040298e+00,4.522814036762088491e-04
-4.182648769277642897e-02,9.999200458048087548e-01,4.515830247357838180e-04
-4.152306507014612985e-02,9.992808285432122073e-01,4.520794023176245065e-04
-4.149363562464714744e-02,9.994191501761889862e-01,4.516108602051953987e-04
-4.146470210841911308e-02,1.000862005097581831e+00,4.515205110148731715e-04
-4.119051801016005571e-02,9.997083852559339734e-01,4.508395413162006021e-04
-4.116090416279127168e-02,1.000409544977421961e+00,4.521011562760994832e-04
-4.113171732682296272e-02,1.000671457387821484e+00,4.517064522953777067e-04
-4.082829423853139711e-02,1.000104635418875176e+00,4.518760399205105634e-04
-4.079886432737112045e-02,1.000614049654436899e+00,4.518057023052528005e-04
-4.076992010093351271e-02,9.999402309489622276e-01,4.513441109910091426e-04
-4.049574624722273447e-02,9.988651811536065628e-01,4.507106520805707461e-04
-4.046614497270873551e-02,9.994205018749198199e-01,4.519192561003152787e-04
-4.043694696086952423e-02,1.000229754529283088e+00,4.515851561299706130e-04
-4.013353411712627244e-02,1.000514965004683177e+00,4.520519852633592063e-04
-4.010409442707894845e-02,1.000183483198163747e+00,4.517178181084245637e-04
-4.007516230783480377e-02,9.991170971816375479e-01,4.511425079792492931e-04
-3.980097401862414674e-02,9.999369055765017222e-01,4.509951923139191715e-04
-3.977137367543270852e-02,1.000688571596820120e+00,4.522093475779601947e-04
-3.974217706057735916e-02,9.997390224460401820e-01,4.514544340877055641e-04
-3.943876328551153970e-02,9.987943833201939903e-01,4.524140463315739352e-04
-3.940932312980294921e-02,1.000471380088160611e+00,4.517712678001785257e-04
-3.938039194188137221e-02,1.000810732129853386e+00,4.515271084973095680e-04
-3.910620318700941400e-02,1.000084607843660045e+00,4.514901927462282413e-04
-3.907660284381798271e-02,9.996193408519240542e-01,4.519379526063373653e-04
-3.904740622896262642e-02,1.001007871757172429e+00,4.515990072817592450e-04
-3.874399152257424622e-02,1.000229957210568177e+00,4.521084582140978518e-04
-3.871455322951078415e-02,1.000266418758149811e+00,4.517020556939753168e-04
-3.868562250725050139e-02,9.997103093448184152e-01,4.512898908716429574e-04
-3.841144306560428934e-02,9.995629694502806695e-01,4.513539037160343927e-04
-3.838183154654194879e-02,9.997359474406732893e-01,4.518589216799647943e-04
-3.835263586300919486e-02,1.000192425758142489e+00,4.514060235490160436e-04
-3.804922069095951348e-02,1.000788228932440349e+00,4.521261206754374849e-04
-3.801978193223475716e-02,9.992617105688276213e-01,4.514741759095456048e-04
-3.799085214129706289e-02,1.000163514832743461e+00,4.513864595501203064e-04
-3.771667130266699586e-02,9.997586381561237578e-01,4.511867916531710904e-04
-3.768706118058851723e-02,1.000331112350632434e+00,4.518617638513513276e-04
-3.765787713858792518e-02,1.000363606849035358e+00,4.514060356559276540e-04
-3.735444892802219224e-02,9.997126182565363450e-01,4.517882190780730706e-04
-3.732502320781348748e-02,1.000372471248190953e+00,4.516068927656033188e-04
-3.729608177534359664e-02,1.001193237690074955e+00,4.516210691649334696e-04
-3.702190000539096193e-02,9.985678726145074124e-01,4.509620705604397168e-04
-3.699228988331249024e-02,1.000496635950933522e+00,4.518667716513673021e-04
-3.696310723829575318e-02,9.997436129355482537e-01,4.511723426925766368e-04
-3.665967763074619301e-02,1.000051799963060928e+00,4.517869741296805935e-04
-3.663025191053749519e-02,1.000268409539979864e+00,4.515741742425873691e-04
-3.660131187505145933e-02,9.995454811047155275e-01,4.512946039633759267e-04
-3.632712824245364069e-02,9.994415694984977172e-01,4.513338468092830107e-04
-3.629753069322992631e-02,9.998196084220570823e-01,4.515940181743271012e-04
-3.626833687234232162e-02,1.000753006512955068e+00,4.514237286004610557e-04
-3.596491797500233484e-02,9.996311373194657346e-01,4.516263382353905985e-04
-3.593548201024532318e-02,1.000286626818534197e+00,4.515685040461477127e-04
-3.590654197475929427e-02,1.000096261086157456e+00,4.513875265736323338e-04
-3.563235647951634721e-02,1.001091188569463108e+00,4.516624014363324448e-04
-3.560275939595392708e-02,9.998897199669659619e-01,4.515655703156483489e-04
-3.557356604072758888e-02,1.000163330588542232e+00,4.512818731342926144e-04
-3.527014667772630785e-02,9.997287191715894528e-01,4.516346227512297272e-04
-3.524071117863059044e-02,9.998846529524927362e-01,4.514857426842337784e-04
-3.521178371599931883e-02,1.000626342474612240e+00,4.515326920217735298e-04
-3.493759635811122255e-02,9.995148976105150407e-01,4.514283927828494059e-04
-3.490798903000046083e-02,1.001403112054324307e+00,4.519953818655819190e-04
-3.487879614043542381e-02,1.000040291355967614e+00,4.512777144586632748e-04
-3.457537538045030862e-02,1.000666580255337168e+00,4.518922266329186113e-04
-3.454594034701585770e-02,1.000310758858615756e+00,4.515107062042229401e-04
-3.451701381570715377e-02,9.996451464559494848e-01,4.511990699222096250e-04
-3.424282506083519556e-02,9.991574373654872332e-01,4.514696432773044948e-04
-3.421321773272446853e-02,9.995411167250385365e-01,4.514388658861279049e-04
-3.418402530882069107e-02,9.995461319563658797e-01,4.511008517204188168e-04
-3.385116998106242614e-02,9.996249015332100418e-01,4.513057145262081016e-04
-3.382224391541498176e-02,9.997463186368824584e-01,4.512794694210896327e-04
-3.354805283223660090e-02,1.000314936004456978e+00,4.517336110080660892e-04
-3.351844690110973579e-02,1.000390397214438565e+00,4.515830910064467661e-04
-3.348926658439942139e-02,9.996767404813364788e-01,4.511451431012101533e-04
-3.315639914944769340e-02,1.000240964382316688e+00,4.513505440384099642e-04
-3.312747401512284445e-02,1.000305685493870556e+00,4.513210468210472268e-04
-3.285328106929930742e-02,9.999702970527832857e-01,4.517863329739435301e-04
-3.282367560383370880e-02,9.994411521860091518e-01,4.512898537680987078e-04
-3.279449621844598983e-02,9.999865564438273902e-01,4.512662068345007788e-04
-3.246163995936512947e-02,1.000239608638761935e+00,4.513585649422755886e-04
-3.243270364916937820e-02,1.000097092495094486e+00,4.513707483433752605e-04
-3.215850977202328043e-02,9.993294423144861716e-01,4.515208430118844343e-04
-3.212891641375114488e-02,1.000588095537454869e+00,4.514224542960683633e-04
-3.209972631815381783e-02,1.000143989681911760e+00,4.512888119691764043e-04
-3.176686959341169791e-02,1.000685301651390358e+00,4.513034911969442966e-04
-3.173793374887724089e-02,1.000255342638480593e+00,4.514241130618887017e-04
-3.146374965061815576e-02,9.994583086251637161e-01,4.515581856806827050e-04
-3.143414558213641213e-02,9.998116799017693346e-01,4.512487365942810264e-04
-3.140495595220038627e-02,1.000829208950252402e+00,4.514098002649497400e-04
-3.107209922745823166e-02,1.000107110160071811e+00,4.511177525549302215e-04
-3.104317549011727240e-02,9.987578599525516188e-01,4.511846380664940996e-04
-3.073937428486038514e-02,9.991176508083898788e-01,4.510040427980212784e-04
-3.071018558624695124e-02,1.000249860308104255e+00,4.513097924701383375e-04
-3.037732793018220467e-02,9.998603214708668974e-01,4.511017004876293575e-04
-3.034840558982510386e-02,1.000082192106625190e+00,4.515404346736417020e-04
-3.007420659040483529e-02,1.000176284846210129e+00,4.518471847200450451e-04
-3.001541522029348499e-02,9.995598024112303248e-01,4.512284827722519952e-04
-2.968255802989006389e-02,1.001578041538164987e+00,4.514323753469616659e-04
-2.965363522387166884e-02,1.001156564343121946e+00,4.517837166963714472e-04
-2.937943436180624410e-02,1.000180666476316205e+00,4.515263848539740471e-04
-2.934983308729222085e-02,9.996221317121962713e-01,4.510410878597534965e-04
-2.932065649587221878e-02,1.000351233030180254e+00,4.513015967619363428e-04
-2.898778719827533462e-02,9.992133102556103319e-01,4.509467106444129737e-04
-2.895886578924079455e-02,9.999898229675562300e-01,4.514996715793943719e-04
-2.868466353019151482e-02,1.000023124034777222e+00,4.514189131688726379e-04
-2.865506179001619039e-02,9.994283983063203536e-01,4.509621833161668353e-04
-2.862588612991878376e-02,1.000568204300861685e+00,4.513988457515090186e-04
-2.829302800819277069e-02,9.992331762581249111e-01,4.509294627875080007e-04
-2.826409542328733177e-02,9.995735947058861370e-01,4.513062528263128421e-04
-2.798989176725419012e-02,9.997305819747684952e-01,4.512698839904365883e-04
-2.796030213427236344e-02,9.999533843533968680e-01,4.510626652065249671e-04
-2.793110505375574412e-02,9.997960954387562493e-01,4.513569423692702712e-04
-2.759825764223933567e-02,1.000820243066713688e+00,4.512749390283448173e-04
-2.756932598865645748e-02,1.000660500969160482e+00,4.514241294710038166e-04
-2.729512000431689664e-02,1.000018157667095897e+00,4.512411606304363187e-04
-2.726551966112543413e-02,9.999406214023504047e-01,4.510067822123139079e-04
-2.723634586367318020e-02,9.996043713102510386e-01,4.511601376040702115e-04
-2.690347563475370407e-02,9.997678876672682069e-01,4.510409041794804109e-04
-2.687456679857392478e-02,1.000718194923211124e+00,4.514250696791010666e-04
-2.660034870704086965e-02,1.000321381234998475e+00,4.513051069606174902e-04
-2.657074882951070138e-02,1.000109283820394435e+00,4.510039641061437741e-04
-2.654156385618754860e-02,9.998793617473757944e-01,4.512368313937110791e-04
-2.620870387181641059e-02,9.997573694332998473e-01,4.510414716961728509e-04
-2.617978572241085392e-02,9.998686941139991458e-01,4.512189976208459338e-04
-2.590557694410354495e-02,9.991791272703400839e-01,4.510703086692628141e-04
-2.587597799789597211e-02,9.996782819116334373e-01,4.508159634894879264e-04
-2.584679349023411357e-02,9.996565187120349805e-01,4.512050849085422611e-04
-2.551393443718553630e-02,1.000408237673822587e+00,4.511470436343957883e-04
-2.548501535645741889e-02,9.994263796188793680e-01,4.511012145424096384e-04
-2.521081682269844804e-02,9.994986134967366320e-01,4.510907873836340616e-04
-2.518120670061997288e-02,9.991756669859332973e-01,4.507151732764799398e-04
-2.515202312428067855e-02,1.000622401353891799e+00,4.512963139064194774e-04
-2.481916313990950931e-02,9.994349747760825631e-01,4.510503532835801106e-04
-2.479024592182654807e-02,9.996486140082316840e-01,4.511624207294550877e-04
-2.451604505976112333e-02,9.985766348871191189e-01,4.507987945600128664e-04
-2.448643586900524360e-02,9.994686117807154435e-01,4.508162536177416505e-04
-2.445726486552067536e-02,1.000630030347616772e+00,4.514421645686828239e-04
-2.415381756284218362e-02,9.991620806069710925e-01,4.507209998403119379e-04
-2.412440394982694539e-02,9.992186105433167320e-01,4.509884413651722604e-04
-2.409547555587311304e-02,9.995998197319307943e-01,4.511621277115126041e-04
-2.382127329682383332e-02,9.999965498616811832e-01,4.510074235118607944e-04
-2.379167667892267968e-02,9.994267506718920169e-01,4.507789187991230332e-04
-2.376249403390594608e-02,1.000602084081626320e+00,4.514399822535121822e-04
-2.345905790709835667e-02,9.996260401896885917e-01,4.507556014448517705e-04
-2.342963358387351036e-02,9.996570235097563817e-01,4.511175063084723181e-04
-2.340070612124224222e-02,1.000862374578674219e+00,4.514033422829774210e-04
-2.312650199954780286e-02,9.983311681526370052e-01,4.508585173932933552e-04
-2.309690631296924465e-02,9.996840009912217884e-01,4.508483906119475763e-04
-2.306772413361380877e-02,1.000313784186191324e+00,4.513704104467617935e-04
-2.276428707548362393e-02,1.000736589089979756e+00,4.510242998372339363e-04
-2.273486275225878109e-02,1.000215112033816078e+00,4.513881698441438986e-04
-2.270594739682097254e-02,1.000252589674904158e+00,4.512491043181993448e-04
